lncRNA,miRNA,mRNA,score
OIP5-AS1,hsa-miR-22-3p,YWHAZ,0.99804074
OIP5-AS1,hsa-miR-22-3p,RPSA,0.99804074
OIP5-AS1,hsa-miR-22-3p,RPS2,0.99804074
OIP5-AS1,hsa-miR-22-3p,TMED4,0.99804074
OIP5-AS1,hsa-miR-30e-5p,APLP2,0.99804074
OIP5-AS1,hsa-miR-23a-3p,PSAP,0.99804074
OIP5-AS1,hsa-miR-30e-5p,RPS8,0.99804074
OIP5-AS1,hsa-miR-30e-5p,RPS7,0.99804074
OIP5-AS1,hsa-miR-30e-5p,TMED2,0.99804074
OIP5-AS1,hsa-miR-30e-5p,NAP1L1,0.99804074
NORAD,hsa-miR-106b-5p,MSH6,0.99804074
OIP5-AS1,hsa-miR-23a-3p,SDHD,0.99804074
OIP5-AS1,hsa-miR-23a-3p,LDHA,0.99804074
OIP5-AS1,hsa-miR-23a-3p,TPM3,0.99804074
NORAD,hsa-miR-28-3p,CYB5B,0.99804074
NORAD,hsa-miR-28-3p,TIAL1,0.99804074
OIP5-AS1,hsa-miR-23a-3p,PKM,0.99804074
OIP5-AS1,hsa-miR-30e-5p,SRPRA,0.99804074
OIP5-AS1,hsa-miR-30e-5p,MED29,0.99804074
OIP5-AS1,hsa-miR-30e-5p,RPLP0,0.99804074
NORAD,hsa-miR-106b-5p,RNPS1,0.99804074
OIP5-AS1,hsa-miR-30e-5p,SRSF7,0.99804074
NORAD,hsa-miR-106b-5p,TRRAP,0.99804074
NORAD,hsa-miR-106b-5p,U2SURP,0.99804074
NORAD,hsa-miR-106b-5p,PRPF4,0.99804074
FGD5-AS1,hsa-miR-22-3p,CSNK2A1,0.99802434
FGD5-AS1,hsa-miR-28-5p,TEX261,0.99802434
NORAD,hsa-miR-30e-5p,TPRG1L,0.99802434
NORAD,hsa-miR-182-5p,RPS3,0.99799216
NORAD,hsa-miR-106b-5p,PPIA,0.99799216
NORAD,hsa-miR-106b-5p,ANKIB1,0.99794096
NORAD,hsa-miR-106b-5p,ACIN1,0.99794096
NORAD,hsa-miR-106b-5p,RBBP7,0.99794096
NORAD,hsa-miR-106b-5p,CRCP,0.99794096
NORAD,hsa-miR-106b-5p,CBX1,0.99794096
NORAD,hsa-miR-106b-5p,DNM1L,0.99794096
EBLN3P,hsa-miR-151a-3p,MLEC,0.99794096
OIP5-AS1,hsa-miR-30e-5p,VPS41,0.99794096
OIP5-AS1,hsa-miR-30e-5p,ATG5,0.99794096
OIP5-AS1,hsa-miR-30e-5p,STAU1,0.99794096
OIP5-AS1,hsa-miR-23a-3p,BSDC1,0.99794096
OIP5-AS1,hsa-miR-23a-3p,LAMP1,0.99794096
NORAD,hsa-miR-106b-5p,UBE2V2,0.99794096
OIP5-AS1,hsa-miR-25-3p,ARPC3,0.99794096
NORAD,hsa-miR-30d-5p,HNRNPH1,0.99794096
NORAD,hsa-miR-30d-5p,SRSF7,0.99794096
OIP5-AS1,hsa-miR-30e-5p,HSP90AA1,0.99794096
OIP5-AS1,hsa-miR-30e-5p,XPO1,0.99794096
NORAD,hsa-miR-106b-5p,MTPAP,0.99794096
NORAD,hsa-miR-106b-5p,MFN1,0.99794096
OIP5-AS1,hsa-miR-23a-3p,FAM91A1,0.99794096
NORAD,hsa-miR-106b-5p,MTHFD1,0.99794096
NORAD,hsa-miR-106b-5p,DNAJC10,0.99794096
OIP5-AS1,hsa-miR-30e-5p,MIER1,0.99794096
OIP5-AS1,hsa-miR-30e-5p,AKIRIN1,0.99794096
OIP5-AS1,hsa-miR-30e-5p,ZCRB1,0.99794096
OIP5-AS1,hsa-miR-30d-5p,HNRNPH1,0.99794096
OIP5-AS1,hsa-miR-200c-3p,ARPC3,0.99794096
NORAD,hsa-miR-106b-5p,CASP2,0.99794096
EBLN3P,hsa-miR-29a-3p,WDR26,0.9979085
OIP5-AS1,hsa-miR-22-3p,KCTD10,0.9979085
OIP5-AS1,hsa-miR-22-3p,FUBP1,0.9979085
EBLN3P,hsa-miR-29a-3p,CNBP,0.9979085
OIP5-AS1,hsa-miR-29a-3p,GLUL,0.9977381
NORAD,hsa-miR-25-3p,HSPA8,0.9977381
NORAD,hsa-miR-30e-5p,AZIN1,0.997623
NORAD,hsa-miR-30e-5p,XPO1,0.997623
NORAD,hsa-miR-106b-5p,PCBP2,0.9974837
NORAD,hsa-miR-106b-5p,YBX1,0.9974837
OIP5-AS1,hsa-miR-22-3p,RPS4X,0.9974837
OIP5-AS1,hsa-miR-23b-3p,CAP1,0.9974837
OIP5-AS1,hsa-miR-22-3p,SERBP1,0.9974837
OIP5-AS1,hsa-miR-23a-3p,RPS4X,0.9972887
OIP5-AS1,hsa-miR-23a-3p,MCFD2,0.9972887
OIP5-AS1,hsa-miR-23a-3p,HNRNPUL1,0.9972887
OIP5-AS1,hsa-miR-30e-5p,PICALM,0.9972887
NORAD,hsa-miR-30e-5p,MBNL1,0.9969639
NORAD,hsa-miR-30e-5p,TMED2,0.9969639
NORAD,hsa-miR-25-3p,PRRC2A,0.9968094
NORAD,hsa-miR-30e-5p,MED29,0.996807
OIP5-AS1,hsa-miR-30e-5p,MBNL1,0.99653494
OIP5-AS1,hsa-miR-30e-5p,STX12,0.99644804
NORAD,hsa-miR-30d-5p,CPEB4,0.99632734
NORAD,hsa-miR-106b-5p,MAPKAPK5,0.99632734
NORAD,hsa-miR-30d-5p,DDAH1,0.99632734
FGD5-AS1,hsa-miR-151a-5p,FKBP1A,0.99518883
NORAD,hsa-miR-30e-5p,FAM8A1,0.9947929
NORAD,hsa-miR-25-3p,EEF1A1,0.9947608
NORAD,hsa-miR-25-3p,ARF1,0.9947608
FGD5-AS1,hsa-miR-22-3p,SP1,0.9947385
OIP5-AS1,hsa-miR-30e-5p,TANK,0.9944885
OIP5-AS1,hsa-miR-22-3p,HMGB1,0.9944885
FGD5-AS1,hsa-miR-151a-5p,SLC39A9,0.9944112
NORAD,hsa-miR-22-3p,YWHAZ,0.9944112
FGD5-AS1,hsa-miR-22-3p,SRSF7,0.9941544
OIP5-AS1,hsa-miR-29a-3p,CNBP,0.9941544
OIP5-AS1,hsa-miR-29a-3p,MCL1,0.9941544
NORAD,hsa-miR-22-3p,FUBP1,0.9941544
FGD5-AS1,hsa-miR-151a-5p,UBE2Z,0.99406636
NORAD,hsa-miR-25-3p,FKBP1A,0.9937645
FGD5-AS1,hsa-miR-22-3p,YWHAZ,0.9937645
NORAD,hsa-miR-25-3p,HSP90AA1,0.9937645
NORAD,hsa-miR-25-3p,ELOA,0.99374205
OIP5-AS1,hsa-miR-22-3p,HNRNPA3,0.9934994
NORAD,hsa-miR-30e-5p,ZNF207,0.99332494
FGD5-AS1,hsa-miR-22-3p,RPS4X,0.99332494
NORAD,hsa-miR-25-3p,EIF1,0.99281824
OIP5-AS1,hsa-miR-30e-5p,ZNF207,0.9925775
OIP5-AS1,hsa-miR-30e-5p,EEF1A1,0.9925775
OIP5-AS1,hsa-miR-23a-3p,SERINC3,0.99251306
FGD5-AS1,hsa-miR-22-3p,SERBP1,0.9922436
NORAD,hsa-miR-30e-5p,NAP1L1,0.9922436
OIP5-AS1,hsa-miR-30e-5p,GPBP1L1,0.9920145
OIP5-AS1,hsa-miR-23a-3p,DDX5,0.9913762
NORAD,hsa-miR-25-3p,HNRNPA1,0.98128957
NORAD,hsa-miR-22-3p,HNRNPA3,0.98128957
NORAD,hsa-miR-22-3p,SERBP1,0.98128957
FGD5-AS1,hsa-miR-151a-5p,YME1L1,0.98128957
NORAD,hsa-miR-22-3p,RAB5B,0.97981125
NORAD,hsa-miR-22-3p,RBM39,0.979705
NORAD,hsa-miR-30e-5p,APLP2,0.9796922
FGD5-AS1,hsa-miR-22-3p,RAB5B,0.9796922
NORAD,hsa-miR-22-3p,LONP2,0.9781042
NORAD,hsa-miR-25-3p,UBE2Z,0.9762415
OIP5-AS1,hsa-miR-29a-3p,PPT1,0.89857036
OIP5-AS1,hsa-miR-200c-3p,ILF3,0.88840646
FGD5-AS1,hsa-miR-22-3p,DDX6,0.11617394
OIP5-AS1,hsa-miR-29a-3p,YY1,0.11617394
NORAD,hsa-miR-30e-5p,CCT6A,0.01641126
NORAD,hsa-miR-106b-5p,FOXK2,0.014772361
OIP5-AS1,hsa-miR-25-3p,EZR,0.011808289
OIP5-AS1,hsa-miR-30e-5p,ASB3,0.011808289
OIP5-AS1,hsa-miR-30e-5p,SAE1,0.011808289
OIP5-AS1,hsa-miR-23a-3p,MMGT1,0.011808289
EBLN3P,hsa-miR-29a-3p,HDGF,0.011808289
GAS5,hsa-miR-29a-3p,VDAC1,0.011808289
OIP5-AS1,hsa-miR-30d-5p,VPS41,0.011808289
OIP5-AS1,hsa-miR-28-5p,TMED4,0.011808289
OIP5-AS1,hsa-miR-25-3p,TXLNA,0.005367907
NORAD,hsa-miR-182-5p,FLOT1,0.0048715514
OIP5-AS1,hsa-miR-25-3p,PHB2,0.0048715514
OIP5-AS1,hsa-miR-30d-5p,SRSF7,0.0048715514
NORAD,hsa-miR-30e-5p,ELOVL5,0.0045565097
EBLN3P,hsa-miR-29a-3p,VHL,0.0044394284
OIP5-AS1,hsa-miR-30a-5p,APLP2,0.004269497
OIP5-AS1,hsa-miR-23b-3p,BSDC1,0.0040965467
OIP5-AS1,hsa-miR-23a-3p,IMPDH2,0.0040965467
NORAD,hsa-miR-106b-5p,SLC25A5,0.0040631043
OIP5-AS1,hsa-miR-25-3p,MLEC,0.0040631043
OIP5-AS1,hsa-miR-30a-5p,CAPN2,0.0040631043
OIP5-AS1,hsa-miR-25-3p,RPSA,0.0039396877
EBLN3P,hsa-miR-29a-3p,COX7A2L,0.0037347085
GAS5,hsa-miR-29a-3p,SMAD4,0.0037347085
OIP5-AS1,hsa-miR-200c-3p,RAC1,0.0037347085
OIP5-AS1,hsa-miR-25-3p,MBD1,0.0037347085
OIP5-AS1,hsa-miR-30a-5p,ATP6V1B2,0.0037347085
OIP5-AS1,hsa-miR-25-3p,EXOC5,0.0037347085
OIP5-AS1,hsa-miR-30a-5p,CAT,0.0036212313
NORAD,hsa-miR-25-3p,PAWR,0.0035506915
NORAD,hsa-miR-30e-5p,DHX40,0.0035506915
EBLN3P,hsa-miR-29a-3p,ZFP91,0.0034593656
OIP5-AS1,hsa-miR-25-3p,MED29,0.0034593656
OIP5-AS1,hsa-miR-30d-5p,MED29,0.0034593656
EBLN3P,hsa-miR-29a-3p,SYNCRIP,0.0034460677
OIP5-AS1,hsa-miR-30e-5p,FYTTD1,0.0034460677
NORAD,hsa-miR-106b-5p,GABPB1,0.0034460677
OIP5-AS1,hsa-miR-23a-3p,TOP1,0.0034460677
OIP5-AS1,hsa-miR-30e-5p,CAND1,0.0034460677
NORAD,hsa-miR-106b-5p,TSR1,0.0032177903
NORAD,hsa-miR-182-5p,UBAC2,0.003191937
EBLN3P,hsa-miR-151a-3p,MED13,0.003191937
OIP5-AS1,hsa-miR-23a-3p,NDUFV3,0.003191937
GAS5,hsa-miR-29a-3p,MORF4L1,0.00311997
EBLN3P,hsa-miR-29a-3p,MORF4L2,0.002968981
OIP5-AS1,hsa-miR-25-3p,MRPS16,0.002968981
NORAD,hsa-miR-106b-5p,SOX4,0.002968981
NORAD,hsa-miR-106b-5p,GTF2H3,0.002968981
FGD5-AS1,hsa-miR-22-3p,MYCBP,0.0028905594
OIP5-AS1,hsa-miR-30a-5p,SDCBP,0.0027813467
GAS5,hsa-miR-29a-3p,BCAP31,0.0027305202
FGD5-AS1,hsa-miR-28-5p,N4BP1,0.0027124782
OIP5-AS1,hsa-miR-25-3p,RNF4,0.0025983292
OIP5-AS1,hsa-miR-25-3p,PGRMC1,0.0025983292
OIP5-AS1,hsa-miR-25-3p,ARID1B,0.0025983292
OIP5-AS1,hsa-miR-23a-3p,THUMPD3,0.0025983292
GAS5,hsa-miR-29a-3p,YY1,0.0025622733
OIP5-AS1,hsa-miR-25-3p,ARF1,0.0025622733
OIP5-AS1,hsa-miR-25-3p,UBAP2L,0.0025622733
NORAD,hsa-miR-106b-5p,POLR3A,0.0024382076
NORAD,hsa-miR-106b-5p,EIF2S1,0.0024382076
NORAD,hsa-miR-106b-5p,YES1,0.0024382076
NORAD,hsa-miR-361-3p,PFN1,0.0024382076
NORAD,hsa-miR-106b-5p,DAP3,0.0024382076
NORAD,hsa-miR-106b-5p,CBX5,0.0024382076
NORAD,hsa-miR-106b-5p,SLC1A5,0.0024382076
OIP5-AS1,hsa-miR-23b-3p,RPL19,0.0024382076
OIP5-AS1,hsa-miR-200c-3p,PABPC1,0.0024382076
OIP5-AS1,hsa-miR-25-3p,RRN3,0.0023119387
OIP5-AS1,hsa-miR-25-3p,NFYB,0.002178473
GAS5,hsa-miR-29a-3p,CDC42SE1,0.002178473
NORAD,hsa-miR-106b-5p,PLAGL2,0.0021597422
OIP5-AS1,hsa-miR-25-3p,RPS14,0.0021597422
OIP5-AS1,hsa-miR-23b-3p,GANAB,0.0021597422
FGD5-AS1,hsa-miR-22-3p,KDM3A,0.0021245
NORAD,hsa-miR-106b-5p,EMC1,0.0020781534
NORAD,hsa-miR-106b-5p,VDAC1,0.0020265933
OIP5-AS1,hsa-miR-28-5p,TEX261,0.0020265933
OIP5-AS1,hsa-miR-23a-3p,PPP2R5E,0.0020265933
NORAD,hsa-miR-106b-5p,POLR1B,0.0020265933
OIP5-AS1,hsa-miR-25-3p,FKBP1A,0.0020067894
NORAD,hsa-miR-25-3p,BZW1,0.0019715766
NORAD,hsa-miR-30e-5p,CAND1,0.0019715766
GAS5,hsa-miR-29a-3p,MORF4L2,0.0019095687
OIP5-AS1,hsa-miR-23a-3p,DNAJC21,0.0019095687
OIP5-AS1,hsa-miR-22-3p,NUP214,0.0019095687
NORAD,hsa-miR-106b-5p,DDX23,0.0019095687
NORAD,hsa-miR-106b-5p,RPS27A,0.0019095687
NORAD,hsa-miR-106b-5p,LRRC59,0.0019095687
OIP5-AS1,hsa-miR-30e-5p,PRKAA1,0.0019095687
OIP5-AS1,hsa-miR-30d-5p,ZBTB4,0.0018623229
OIP5-AS1,hsa-miR-25-3p,RPL9,0.0017720887
NORAD,hsa-miR-106b-5p,NPLOC4,0.0017720887
EBLN3P,hsa-miR-29a-3p,YY1,0.0017629653
OIP5-AS1,hsa-miR-28-5p,CS,0.0016775371
NORAD,hsa-miR-25-3p,SCAF4,0.0014978802
NORAD,hsa-miR-25-3p,EXOC5,0.0014978802
FGD5-AS1,hsa-miR-28-5p,UMPS,0.0014978802
FGD5-AS1,hsa-miR-22-3p,BTG1,0.0014599082
OIP5-AS1,hsa-miR-25-3p,RBFOX2,0.0014347716
OIP5-AS1,hsa-miR-30a-5p,SNX3,0.0014347716
OIP5-AS1,hsa-miR-29a-3p,CDC42SE1,0.0014241644
NORAD,hsa-miR-25-3p,NFYB,0.0014241644
OIP5-AS1,hsa-miR-25-3p,CNIH1,0.0013983971
NORAD,hsa-miR-106b-5p,GLO1,0.0013462572
NORAD,hsa-miR-106b-5p,TFAM,0.0013462572
NORAD,hsa-miR-182-5p,PFN1,0.0013462572
OIP5-AS1,hsa-miR-22-3p,EDC3,0.0013462572
OIP5-AS1,hsa-miR-200c-3p,BRD7,0.0013121238
OIP5-AS1,hsa-miR-23b-3p,PSAP,0.0012799937
NORAD,hsa-miR-22-3p,MAPK14,0.0010937736
NORAD,hsa-miR-22-3p,LIN7C,0.0009983439
NORAD,hsa-miR-30e-5p,PCMTD2,0.0009983439
OIP5-AS1,hsa-miR-25-3p,HSPA8,0.00094297034
NORAD,hsa-miR-30e-5p,POLDIP3,0.00091646786
NORAD,hsa-miR-30e-5p,PREPL,0.00091646786
NORAD,hsa-miR-25-3p,CTNNBL1,0.00091646786
NORAD,hsa-miR-30e-5p,ZDHHC20,0.00091646786
NORAD,hsa-miR-30e-5p,LIN7C,0.00091646786
FGD5-AS1,hsa-miR-151a-5p,GPN1,0.00091646786
FGD5-AS1,hsa-miR-151a-5p,SLC15A4,0.00091646786
NORAD,hsa-miR-30e-5p,RELA,0.00091646786
NORAD,hsa-miR-25-3p,CNOT2,0.00091646786
NORAD,hsa-miR-25-3p,UBXN4,0.00091631716
OIP5-AS1,hsa-miR-29a-3p,RPL22,0.00091631716
NORAD,hsa-miR-30e-5p,VAPA,0.00091631716
OIP5-AS1,hsa-miR-29a-3p,PTEN,0.00091631716
OIP5-AS1,hsa-miR-29a-3p,PTBP3,0.00091631716
FGD5-AS1,hsa-miR-28-5p,HNRNPC,0.00091631716
NORAD,hsa-miR-30e-5p,PPP1R15B,0.00091631716
NORAD,hsa-miR-22-3p,KCTD10,0.00091631716
FGD5-AS1,hsa-miR-22-3p,RPSA,0.00091631716
NORAD,hsa-miR-25-3p,ZDHHC5,0.00091631716
FGD5-AS1,hsa-miR-28-5p,MORF4L1,0.00091631716
FGD5-AS1,hsa-miR-28-5p,TPM4,0.00091631716
FGD5-AS1,hsa-miR-28-5p,G3BP1,0.00091631716
NORAD,hsa-miR-25-3p,EIF4G2,0.00091631716
NORAD,hsa-miR-30e-5p,ZFAND5,0.00091631716
NORAD,hsa-miR-30e-5p,ARPP19,0.00091631716
NORAD,hsa-miR-30e-5p,CANX,0.00091631716
NORAD,hsa-miR-30e-5p,PICALM,0.00091631716
NORAD,hsa-miR-25-3p,NUCKS1,0.00091631716
OIP5-AS1,hsa-miR-29a-3p,DDX6,0.00091631716
NORAD,hsa-miR-30e-5p,WDR26,0.00091631716
NORAD,hsa-miR-25-3p,GPBP1,0.00091631716
NORAD,hsa-miR-30e-5p,GPBP1L1,0.00091631716
NORAD,hsa-miR-30e-5p,UBXN4,0.00091631716
FGD5-AS1,hsa-miR-151a-5p,EIF4G2,0.00091631716
NORAD,hsa-miR-25-3p,UBAP2L,0.00091631716
FGD5-AS1,hsa-miR-151a-5p,RAB14,0.00091631716
NORAD,hsa-miR-25-3p,DHX9,0.00091631716
FGD5-AS1,hsa-miR-28-5p,MAPK1,0.00091631716
NORAD,hsa-miR-25-3p,SMARCA5,0.00091631716
NORAD,hsa-miR-25-3p,ATP2A2,0.00091631716
FGD5-AS1,hsa-miR-151a-5p,SKP1,0.00091631716
NORAD,hsa-miR-25-3p,DDX3X,0.00091631716
FGD5-AS1,hsa-miR-151a-5p,HSPA8,0.00091631716
NORAD,hsa-miR-25-3p,KIF5B,0.00091631716
NORAD,hsa-miR-25-3p,EIF4EBP2,0.00091631716
NORAD,hsa-miR-25-3p,WASL,0.00091631716
NORAD,hsa-miR-25-3p,GPBP1L1,0.00091631716
NORAD,hsa-miR-25-3p,EIF4B,0.00091631716
NORAD,hsa-miR-25-3p,SMU1,0.00091631716
NORAD,hsa-miR-22-3p,DDX6,0.00091631716
NORAD,hsa-miR-30e-5p,SRPRA,0.00091631716
OIP5-AS1,hsa-miR-29a-3p,MORF4L1,0.00091631716
NORAD,hsa-miR-22-3p,SP1,0.00091631716
OIP5-AS1,hsa-miR-29a-3p,SEC31A,0.00091631716
FGD5-AS1,hsa-miR-22-3p,KCTD10,0.00091631716
FGD5-AS1,hsa-miR-22-3p,ARPC5,0.00091631716
FGD5-AS1,hsa-miR-22-3p,PTEN,0.00091631716
OIP5-AS1,hsa-miR-29a-3p,WDR26,0.00091631716
FGD5-AS1,hsa-miR-22-3p,HMGB1,0.00091631716
NORAD,hsa-miR-22-3p,PTEN,0.00091631716
FGD5-AS1,hsa-miR-22-3p,RPL24,0.00091631716
NORAD,hsa-miR-30e-5p,PRKAR1A,0.00091631716
FGD5-AS1,hsa-miR-22-3p,RPL35A,0.00091631716
FGD5-AS1,hsa-miR-22-3p,BTF3,0.00091631716
OIP5-AS1,hsa-miR-23b-3p,DNAJC21,0.00089724106
FGD5-AS1,hsa-miR-140-5p,PRPF8,0.00089724106
NORAD,hsa-miR-30e-5p,DCTN4,0.0008940877
NORAD,hsa-miR-22-3p,KDM3A,0.0008718793
