gene,name,type,triplet_count,best_rank,avg_pvalue
VPS41,VPS41,mRNA,4,174,4.9789554812385006e-08
HNRNPC,HNRNPC,mRNA,2,175,0.0
SRSF2,SRSF2,mRNA,1,176,0.0
ZBTB4,ZBTB4,mRNA,2,177,2.1316282072803006e-14
ANKIB1,ANKIB1,mRNA,2,178,6.5503158452884236e-15
ZNF207,ZNF207,mRNA,2,180,0.0
DDX6,DDX6,mRNA,5,181,1.410087788045189e-06
RYBP,RYBP,mRNA,1,182,0.0
PPP1CB,PPP1CB,mRNA,1,183,0.0
STARD7,STARD7,mRNA,2,186,4.205524817280093e-13
RNPS1,RNPS1,mRNA,1,187,0.0
DDX23,DDX23,mRNA,3,189,6.217248937900877e-15
POFUT1,POFUT1,mRNA,1,190,0.0
SSR1,SSR1,mRNA,2,192,8.59736726255278e-11
WDR26,WDR26,mRNA,5,195,7.083666986318348e-13
NUCKS1,NUCKS1,mRNA,2,198,1.7763568394002508e-14
SP1,SP1,mRNA,4,199,1.942892513540073e-10
HNRNPL,HNRNPL,mRNA,2,200,5.685563131407889e-12
TIAL1,TIAL1,mRNA,1,201,0.0
ATP2A2,ATP2A2,mRNA,2,202,2.593136816386732e-11
PICALM,PICALM,mRNA,2,203,6.660005880121389e-12
KBTBD2,KBTBD2,mRNA,1,204,0.0
YY1,YY1,mRNA,3,205,0.0
UBAP2L,UBAP2L,mRNA,2,207,2.5091040356528543e-13
UBXN4,UBXN4,mRNA,6,210,5.352426988636003e-05
STX7,STX7,mRNA,1,211,0.0
PDCD6IP,PDCD6IP,mRNA,2,212,4.916067553040193e-13
WASL,WASL,mRNA,3,213,3.963064920675663e-08
DHX9,DHX9,mRNA,2,214,0.0
HNRNPR,HNRNPR,mRNA,1,216,0.0
UHMK1,UHMK1,mRNA,1,219,0.0
PTBP3,PTBP3,mRNA,2,222,3.941291737419306e-14
ELOA,ELOA,mRNA,2,223,1.6764367671839867e-14
PPP6R3,PPP6R3,mRNA,1,224,0.0
VAMP3,VAMP3,mRNA,1,226,0.0
DDX5,DDX5,mRNA,2,228,5.4156205187005924e-08
MORF4L1,MORF4L1,mRNA,4,231,1.3163120593517872e-10
SMU1,SMU1,mRNA,2,232,7.355227538141662e-13
KCTD10,KCTD10,mRNA,3,234,3.4488026508701828e-09
SF3B3,SF3B3,mRNA,1,235,0.0
FUBP1,FUBP1,mRNA,3,237,2.8068806538309825e-11
ZDHHC5,ZDHHC5,mRNA,2,238,1.0267042771516799e-10
HNRNPK,HNRNPK,mRNA,1,239,0.0
VHL,VHL,mRNA,2,240,3.3306690738754696e-16
TSPYL1,TSPYL1,mRNA,5,241,2.3930864132548635e-06
SMARCA5,SMARCA5,mRNA,2,242,7.606137941706947e-12
KIF5B,KIF5B,mRNA,5,244,3.018055234965731e-05
DDX3X,DDX3X,mRNA,2,246,1.559863349598345e-13
GAS5,GAS5,lncRNA,15,247,1.535818879479696e-11
G3BP1,G3BP1,mRNA,3,248,5.598121965988411e-11
EIF4EBP2,EIF4EBP2,mRNA,2,249,1.8447687821776523e-11
BCAP31,BCAP31,mRNA,1,252,0.0
OAZ1,OAZ1,mRNA,1,255,0.0
PABPC1,PABPC1,mRNA,1,261,2.220446049250313e-16
ATG5,ATG5,mRNA,1,262,2.220446049250313e-16
CBX1,CBX1,mRNA,1,264,2.220446049250313e-16
MRPS16,MRPS16,mRNA,2,266,2.109423746787798e-15
CASP2,CASP2,mRNA,1,268,2.220446049250313e-16
STAU1,STAU1,mRNA,2,269,6.206428179167389e-07
EMC1,EMC1,mRNA,1,270,2.220446049250313e-16
GNAS,GNAS,mRNA,1,271,2.220446049250313e-16
RBBP7,RBBP7,mRNA,1,272,2.220446049250313e-16
XPO1,XPO1,mRNA,2,274,4.0634162701280736e-14
RAD23B,RAD23B,mRNA,3,275,2.920352826230044e-07
STT3B,STT3B,mRNA,1,277,2.220446049250313e-16
HNRNPH1,HNRNPH1,mRNA,2,278,6.439293542825907e-15
MAPK1,MAPK1,mRNA,4,279,5.942810132886222e-10
TXLNA,TXLNA,mRNA,3,281,7.201442508986135e-08
UBE2V2,UBE2V2,mRNA,1,283,4.440892098500626e-16
CYB5B,CYB5B,mRNA,1,285,4.440892098500626e-16
HNRNPUL1,HNRNPUL1,mRNA,1,287,4.440892098500626e-16
EIF4B,EIF4B,mRNA,2,288,1.1045386827390757e-11
FAM8A1,FAM8A1,mRNA,4,290,8.613609825403046e-12
DNAJC10,DNAJC10,mRNA,1,291,6.661338147750939e-16
RNF4,RNF4,mRNA,2,294,3.4753178113078315e-10
RPL5,RPL5,mRNA,1,295,8.881784197001252e-16
SYNCRIP,SYNCRIP,mRNA,2,296,4.717415347244014e-11
ILF3,ILF3,mRNA,1,297,8.881784197001252e-16
EIF4H,EIF4H,mRNA,1,298,1.1102230246251563e-15
GPBP1,GPBP1,mRNA,2,299,3.7689373844074225e-10
WAC,WAC,mRNA,1,300,1.1102230246251563e-15
VMA21,VMA21,mRNA,1,301,1.7763568394002505e-15
SDCBP,SDCBP,mRNA,1,303,1.7763568394002505e-15
JAK1,JAK1,mRNA,3,304,2.851090400657341e-06
TEX261,TEX261,mRNA,2,305,9.658940314238862e-14
AKIRIN1,AKIRIN1,mRNA,2,306,8.54316617449058e-13
MORF4L2,MORF4L2,mRNA,3,307,5.625129991434126e-15
RPL19,RPL19,mRNA,1,309,2.4424906541753444e-15
PRKAR1A,PRKAR1A,mRNA,5,312,0.00020246052940340193
ETFA,ETFA,mRNA,2,313,3.508304757815495e-14
CLIC1,CLIC1,mRNA,1,315,3.996802888650564e-15
SPCS3,SPCS3,mRNA,4,316,1.00394226265621e-09
MED13,MED13,mRNA,1,318,3.3306690738754696e-15
DNTTIP2,DNTTIP2,mRNA,1,319,3.774758283725532e-15
UBL3,UBL3,mRNA,1,320,3.996802888650564e-15
MAPKAPK5,MAPKAPK5,mRNA,1,321,3.774758283725532e-15
EXOC5,EXOC5,mRNA,2,322,1.6209356079599502e-10
HNRNPM,HNRNPM,mRNA,1,326,4.440892098500626e-15
MFN1,MFN1,mRNA,1,327,4.440892098500626e-15
VDAC1,VDAC1,mRNA,3,328,2.8816948827170563e-12
POLR3A,POLR3A,mRNA,1,330,5.551115123125783e-15
PGRMC1,PGRMC1,mRNA,2,331,3.309347240687543e-10
YIPF6,YIPF6,mRNA,2,333,2.811861854468134e-12
ACIN1,ACIN1,mRNA,1,335,6.439293542825908e-15
RPL9,RPL9,mRNA,2,338,1.0658141036401503e-14
ATF7IP,ATF7IP,mRNA,2,339,7.719065076017273e-08
LRRFIP1,LRRFIP1,mRNA,1,340,7.105427357601002e-15
PPP3R1,PPP3R1,mRNA,1,343,8.881784197001252e-15
FLOT1,FLOT1,mRNA,1,344,9.992007221626407e-15
CS,CS,mRNA,2,346,5.81756864903582e-14
CNOT4,CNOT4,mRNA,3,347,1.8897207724558975e-08
MIER1,MIER1,mRNA,2,348,1.3322676295501878e-14
COX7A2L,COX7A2L,mRNA,3,350,7.531752999057061e-11
REEP5,REEP5,mRNA,1,356,1.4876988529977098e-14
BSDC1,BSDC1,mRNA,2,358,4.6296300126869034e-14
FAM91A1,FAM91A1,mRNA,2,359,5.617728504603293e-14
CRCP,CRCP,mRNA,1,360,2.042810365310288e-14
CNOT2,CNOT2,mRNA,2,361,3.24640314630642e-11
PRPF8,PRPF8,mRNA,4,362,1.205794001313265e-07
ARID1B,ARID1B,mRNA,2,363,4.000136910597974e-08
TBL1XR1,TBL1XR1,mRNA,1,364,2.1760371282653068e-14
TPRG1L,TPRG1L,mRNA,2,365,8.714670207687902e-09
HDGF,HDGF,mRNA,3,366,2.0235664995501188e-12
EIF2S1,EIF2S1,mRNA,1,372,4.2188474935755955e-14
SLC1A5,SLC1A5,mRNA,1,374,5.10702591327572e-14
NUP98,NUP98,mRNA,1,377,4.0634162701280736e-14
XIAP,XIAP,mRNA,2,378,3.237144718948315e-08
CAST,CAST,mRNA,1,379,4.596323321948149e-14
PPM1A,PPM1A,mRNA,1,380,4.618527782440651e-14
CCNT2,CCNT2,mRNA,1,381,4.39648317751562e-14
PDHA1,PDHA1,mRNA,1,383,6.417089082333406e-14
BTG1,BTG1,mRNA,3,385,1.3242740237728867e-12
ARPC5L,ARPC5L,mRNA,1,387,7.016609515630989e-14
LAMP1,LAMP1,mRNA,1,388,6.328271240363392e-14
UBAC2,UBAC2,mRNA,1,389,6.550315845288425e-14
DNAJB6,DNAJB6,mRNA,1,390,6.439293542825908e-14
USP9X,USP9X,mRNA,2,392,1.8740564655672645e-13
ADAR,ADAR,mRNA,1,394,7.327471962526033e-14
EZR,EZR,mRNA,3,397,4.038844116186861e-07
YTHDC1,YTHDC1,mRNA,1,398,7.038813976123492e-14
FOXK2,FOXK2,mRNA,1,401,9.636735853746361e-14
RPS14,RPS14,mRNA,2,402,1.2023715356690445e-13
MAP1LC3B,MAP1LC3B,mRNA,1,403,9.103828801926285e-14
RAB10,RAB10,mRNA,3,406,1.2717477434106192e-07
SNX3,SNX3,mRNA,1,407,1.0125233984581429e-13
RPS27A,RPS27A,mRNA,2,408,1.5898393712632244e-13
GTF2A1,GTF2A1,mRNA,2,410,9.338056689012221e-07
RAB14,RAB14,mRNA,2,411,1.3763434836278066e-12
TNPO2,TNPO2,mRNA,1,412,1.3278267374516872e-13
ZFP91,ZFP91,mRNA,7,414,1.208173144449733e-06
ACTR2,ACTR2,mRNA,1,415,1.3589129821411916e-13
AP3M1,AP3M1,mRNA,2,416,1.2468094334749935e-09
MKRN1,MKRN1,mRNA,1,418,1.4277468096679513e-13
RPL7L1,RPL7L1,mRNA,2,420,2.0692336732963668e-12
CDC5L,CDC5L,mRNA,2,421,1.8241840260557757e-07
GABPB1,GABPB1,mRNA,1,427,2.1005419625907962e-13
BRD7,BRD7,mRNA,1,428,2.0672352718520415e-13
YES1,YES1,mRNA,1,429,2.469136006766348e-13
TMEM167A,TMEM167A,mRNA,2,431,2.370083906910736e-09
SETD3,SETD3,mRNA,4,433,6.615395342635111e-09
ARFIP1,ARFIP1,mRNA,1,435,3.11750625314744e-13
MFF,MFF,mRNA,2,436,4.659606034351782e-13
CSNK2A1,CSNK2A1,mRNA,3,437,1.318997857683672e-05
YIPF4,YIPF4,mRNA,3,439,1.0269386755856758e-05
MBD1,MBD1,mRNA,2,440,2.9013458302529216e-12
YWHAG,YWHAG,mRNA,1,441,3.568256801145253e-13
PURB,PURB,mRNA,1,443,3.792521852119536e-13
CLPTM1L,CLPTM1L,mRNA,1,444,5.53335155473178e-13
VAPA,VAPA,mRNA,4,445,1.3345990979019007e-12
NUP214,NUP214,mRNA,2,446,1.9672042400609158e-06
RNF220,RNF220,mRNA,1,447,4.793943020331426e-13
LRRC59,LRRC59,mRNA,1,451,5.844214001626824e-13
RAC1,RAC1,mRNA,1,453,5.80646641878957e-13
CDC42SE1,CDC42SE1,mRNA,3,454,3.10302006312213e-10
FOXJ3,FOXJ3,mRNA,1,455,6.166178678768119e-13
PPP1R15B,PPP1R15B,mRNA,3,457,1.4428029141792345e-10
CBX5,CBX5,mRNA,1,460,8.621992009238967e-13
MAPK14,MAPK14,mRNA,3,462,2.1789143748544387e-08
NRAS,NRAS,mRNA,1,463,1.020739048840369e-12
SMAD4,SMAD4,mRNA,3,464,6.158342830205517e-06
DAP3,DAP3,mRNA,1,467,1.0080825063596421e-12
HUWE1,HUWE1,mRNA,1,469,9.234835118832052e-13
ATXN7L3B,ATXN7L3B,mRNA,3,470,7.707577909243923e-09
ELP5,ELP5,mRNA,1,474,1.4999113062685865e-12
CAPN2,CAPN2,mRNA,1,477,1.352695733203291e-12
MBNL2,MBNL2,mRNA,3,478,4.01553414963729e-08
GNAI2,GNAI2,mRNA,1,481,1.7814638653135262e-12
PFN1,PFN1,mRNA,2,484,3.975997309169088e-11
CNOT11,CNOT11,mRNA,1,491,2.105204899294222e-12
GABARAPL2,GABARAPL2,mRNA,1,492,2.4491519923230957e-12
RPL7,RPL7,mRNA,1,493,3.1161739855178894e-12
TOR1AIP1,TOR1AIP1,mRNA,2,494,6.398381824368471e-11
CPEB4,CPEB4,mRNA,3,495,1.2729380490424566e-07
TUFM,TUFM,mRNA,1,498,3.8753444897565714e-12
NFYB,NFYB,mRNA,2,499,2.5063852993056912e-08
SMG7,SMG7,mRNA,1,504,3.404165838105655e-12
ATP6V1B2,ATP6V1B2,mRNA,1,505,3.6155523019942848e-12
AZIN1,AZIN1,mRNA,1,511,5.275113679203969e-12
DCTN4,DCTN4,mRNA,4,512,9.973927239670388e-11
SKP1,SKP1,mRNA,1,517,6.476152947243463e-12
TMEM59,TMEM59,mRNA,1,519,6.2154725810614756e-12
DDAH1,DDAH1,mRNA,1,520,8.695044684259301e-12
SNX1,SNX1,mRNA,3,522,9.950529289426413e-11
MMGT1,MMGT1,mRNA,1,524,8.657519146026969e-12
RBMS1,RBMS1,mRNA,1,525,7.931877377131968e-12
WDR33,WDR33,mRNA,1,527,7.947642544081646e-12
IMPDH2,IMPDH2,mRNA,1,528,1.1175727010481749e-11
PRRC2A,PRRC2A,mRNA,1,529,1.1061151994340436e-11
TMEM30A,TMEM30A,mRNA,1,530,1.0897061031300836e-11
GHITM,GHITM,mRNA,1,531,1.1013634448886478e-11
RRN3,RRN3,mRNA,2,532,2.2970899973273617e-06
NDFIP1,NDFIP1,mRNA,1,534,1.1175060876666976e-11
KMT5B,KMT5B,mRNA,1,535,1.1364909013877876e-11
TOP1,TOP1,mRNA,1,539,1.5171197631502764e-11
N4BP1,N4BP1,mRNA,2,543,3.1087676877206144e-10
PREPL,PREPL,mRNA,4,544,1.2008614658221006e-08
BZW1,BZW1,mRNA,2,545,1.5160479982512243e-08
SCAMP2,SCAMP2,mRNA,1,546,1.8518520050747608e-11
CNDP2,CNDP2,mRNA,1,547,1.9048540522703658e-11
GTF2H3,GTF2H3,mRNA,1,549,2.1072033007385468e-11
RBM12,RBM12,mRNA,1,551,1.8503643062217637e-11
ARCN1,ARCN1,mRNA,1,552,2.204725291221621e-11
UBE2I,UBE2I,mRNA,1,553,2.697464474010758e-11
ANXA11,ANXA11,mRNA,2,554,4.269937594281181e-06
SLC25A5,SLC25A5,mRNA,1,555,2.969402501662444e-11
SMAD5,SMAD5,mRNA,2,556,2.9692346037446526e-07
NRBP1,NRBP1,mRNA,2,557,4.2190601334812783e-07
ZDHHC20,ZDHHC20,mRNA,2,558,9.628187136456744e-11
ERGIC2,ERGIC2,mRNA,1,559,3.824651706452187e-11
ARHGAP17,ARHGAP17,mRNA,1,564,4.1073811019032285e-11
PPP3CB,PPP3CB,mRNA,2,565,4.333378100795926e-11
RHOA,RHOA,mRNA,1,566,4.0896619424302116e-11
COPA,COPA,mRNA,1,568,4.358091665324082e-11
RBFOX2,RBFOX2,mRNA,2,570,0.0002729329182797606
EDC3,EDC3,mRNA,3,571,8.372468274231437e-09
FYTTD1,FYTTD1,mRNA,2,572,2.6124836183250014e-08
ADPGK,ADPGK,mRNA,1,573,4.9623638531670615e-11
PPT1,PPT1,mRNA,1,575,6.866907042990533e-11
PAIP1,PAIP1,mRNA,1,577,7.545275515496995e-11
LZIC,LZIC,mRNA,2,578,1.563248419600427e-10
LIN7C,LIN7C,mRNA,5,585,7.883525934282432e-08
RNF115,RNF115,mRNA,1,586,1.035056484965935e-10
SAE1,SAE1,mRNA,2,589,2.0231263956338452e-06
MAVS,MAVS,mRNA,1,592,1.2104073299212814e-10
RNF149,RNF149,mRNA,2,593,5.499447008894265e-09
CNIH1,CNIH1,mRNA,2,594,5.621523246901461e-10
PPP2R5E,PPP2R5E,mRNA,1,598,1.5292034305502966e-10
NDUFV3,NDUFV3,mRNA,1,599,1.6727041973751966e-10
ASB3,ASB3,mRNA,1,602,2.0961321567369848e-10
TFAM,TFAM,mRNA,1,606,2.298856660587489e-10
MAP2K4,MAP2K4,mRNA,2,608,2.5641667398268453e-06
MYCBP,MYCBP,mRNA,1,609,2.45429232492711e-10
SOX4,SOX4,mRNA,1,610,2.75459210996587e-10
TSR1,TSR1,mRNA,1,611,2.6175106526693526e-10
CNOT7,CNOT7,mRNA,1,612,2.5652235891016057e-10
POLDIP3,POLDIP3,mRNA,2,613,9.837161085712864e-10
AP2B1,AP2B1,mRNA,1,616,2.7205082631098776e-10
NPLOC4,NPLOC4,mRNA,1,617,2.905873319747343e-10
TLK1,TLK1,mRNA,2,619,1.3161200385081173e-07
EIF3F,EIF3F,mRNA,1,620,3.2074876088472587e-10
ARPP19,ARPP19,mRNA,4,622,0.0007862301658404482
GANAB,GANAB,mRNA,1,626,4.4934145293495926e-10
ATXN10,ATXN10,mRNA,1,627,4.3158809859278335e-10
POLR1B,POLR1B,mRNA,1,629,4.735716263581935e-10
PPP2R5C,PPP2R5C,mRNA,1,630,4.595022140563288e-10
VPS4B,VPS4B,mRNA,2,634,5.0112756729836505e-06
C2orf69,C2orf69,mRNA,1,635,5.941502845274725e-10
CTNNBL1,CTNNBL1,mRNA,1,638,6.664164775571635e-10
YTHDF2,YTHDF2,mRNA,1,639,5.831433114167338e-10
DHX40,DHX40,mRNA,1,640,7.311271588150702e-10
PPP6C,PPP6C,mRNA,1,643,6.753042569584976e-10
THUMPD3,THUMPD3,mRNA,1,644,7.393239354058777e-10
ERBIN,ERBIN,mRNA,2,645,1.0816500326527034e-06
UQCRC2,UQCRC2,mRNA,1,650,8.427896158735847e-10
PLAGL2,PLAGL2,mRNA,1,651,1.015984851804319e-09
VCP,VCP,mRNA,1,652,9.100038500520211e-10
CAND1,CAND1,mRNA,2,653,6.955553411014392e-08
DNAJC21,DNAJC21,mRNA,2,654,1.2075828115243323e-09
TMEM123,TMEM123,mRNA,1,657,1.0836616048948142e-09
VTI1A,VTI1A,mRNA,1,658,1.1073046923826266e-09
LSM14A,LSM14A,mRNA,1,659,1.0894665170013695e-09
PPM1B,PPM1B,mRNA,1,661,1.2841590013579207e-09
CCT6A,CCT6A,mRNA,1,662,1.5600896130507635e-09
KPNA6,KPNA6,mRNA,2,663,0.0001050915517214302
SYPL1,SYPL1,mRNA,1,666,1.4283736415876547e-09
PNRC2,PNRC2,mRNA,2,667,2.3762114831349382e-08
MTDH,MTDH,mRNA,2,669,9.713453014148499e-07
PPP1R11,PPP1R11,mRNA,1,670,1.5907206663001714e-09
PLRG1,PLRG1,mRNA,1,672,1.6508836520046086e-09
ELOVL5,ELOVL5,mRNA,1,673,2.031857126993941e-09
WDR1,WDR1,mRNA,1,676,1.885421818670352e-09
PEX26,PEX26,mRNA,1,677,2.0538009071202623e-09
GLO1,GLO1,mRNA,1,680,2.6319311174916042e-09
RELA,RELA,mRNA,1,685,2.588204761622137e-09
ITFG1,ITFG1,mRNA,1,686,2.78560108313286e-09
CREB1,CREB1,mRNA,5,688,0.004691555475944452
MED4,MED4,mRNA,1,690,3.4173925911318284e-09
TAX1BP1,TAX1BP1,mRNA,1,691,3.509483814667646e-09
FAM199X,FAM199X,mRNA,1,693,4.008779308506405e-09
MAP4,MAP4,mRNA,1,694,4.647762175125081e-09
MFN2,MFN2,mRNA,1,697,5.007268155665656e-09
TRIP12,TRIP12,mRNA,1,698,4.896585581448676e-09
SKIL,SKIL,mRNA,1,701,7.4447679132561015e-09
SON,SON,mRNA,1,702,6.657917106522859e-09
PRKAA1,PRKAA1,mRNA,2,703,2.0761063190821716e-07
BTBD1,BTBD1,mRNA,2,704,1.716266428974933e-08
PAWR,PAWR,mRNA,1,706,9.788015953304809e-09
RCC2,RCC2,mRNA,1,712,1.3129953346791012e-08
TMBIM6,TMBIM6,mRNA,1,717,1.2362028511958556e-08
ICMT,ICMT,mRNA,1,718,1.2550312344927761e-08
TNKS2,TNKS2,mRNA,2,719,5.629169945176037e-06
STAG2,STAG2,mRNA,1,720,1.445978092817768e-08
TRPC4AP,TRPC4AP,mRNA,1,722,1.6142278180808493e-08
PCMTD2,PCMTD2,mRNA,2,723,2.8797843665273607e-08
WDR11,WDR11,mRNA,2,727,5.414436767270381e-06
UMPS,UMPS,mRNA,1,729,3.0059382316594e-08
RAB22A,RAB22A,mRNA,1,730,2.7226349841313894e-08
OTUD4,OTUD4,mRNA,1,732,2.8028690923775912e-08
KDM3A,KDM3A,mRNA,2,733,0.0005360425090937472
UBQLN1,UBQLN1,mRNA,1,734,2.969716716982873e-08
LAMC1,LAMC1,mRNA,1,735,3.3874357985297365e-08
PTAR1,PTAR1,mRNA,1,737,3.2584003051283617e-08
KLF3,KLF3,mRNA,2,741,1.5263761798944842e-06
SPTY2D1,SPTY2D1,mRNA,1,742,4.302101941355829e-08
UBR3,UBR3,mRNA,1,746,5.131669511548864e-08
NCOA3,NCOA3,mRNA,1,750,5.9409876351779196e-08
ETF1,ETF1,mRNA,1,756,9.613081264348013e-08
ABI2,ABI2,mRNA,1,757,1.0112144810392465e-07
SEC62,SEC62,mRNA,1,758,1.0505187231224512e-07
PTP4A2,PTP4A2,mRNA,1,764,1.5626509730637397e-07
CDC73,CDC73,mRNA,1,765,1.6336827446394866e-07
DDX17,DDX17,mRNA,1,766,1.6565465732476525e-07
SCAF4,SCAF4,mRNA,1,768,1.9244591542566525e-07
THADA,THADA,mRNA,1,770,1.9971837339483045e-07
UBC,UBC,mRNA,1,771,2.2695356105550962e-07
FBXW2,FBXW2,mRNA,1,773,2.394212041956223e-07
CLTC,CLTC,mRNA,1,775,3.028544095506902e-07
IPO7,IPO7,mRNA,1,783,5.288186848417809e-07
USP48,USP48,mRNA,1,784,5.020635247543481e-07
RLIM,RLIM,mRNA,1,787,6.41275907042882e-07
